t,v,r
1.000000,47870.000000,57909000000.019791
2.000000,47870.000000,57909000000.039558
3.000000,47870.000000,57909000000.059319
4.000000,47870.000000,57909000000.079071
5.000000,47870.000000,57909000000.098801
6.000000,47870.000000,57909000000.118523
7.000000,47870.000000,57909000000.138237
8.000000,47870.000000,57909000000.157936
9.000000,47870.000000,57909000000.177628
10.000000,47870.000000,57909000000.197304
11.000000,47870.000000,57909000000.216965
12.000000,47870.000000,57909000000.236618
13.000000,47870.000000,57909000000.256248
14.000000,47870.000000,57909000000.275887
15.000000,47870.000000,57909000000.295494
16.000000,47870.000000,57909000000.315102
17.000000,47870.000000,57909000000.334694
18.000000,47870.000000,57909000000.354263
19.000000,47870.000000,57909000000.373833
20.000000,47870.000000,57909000000.393387
21.000000,47870.000000,57909000000.412926
22.000000,47870.000000,57909000000.432465
23.000000,47870.000000,57909000000.451981
24.000000,47870.000000,57909000000.471481
25.000000,47870.000000,57909000000.490974
26.000000,47870.000000,57909000000.510460
27.000000,47870.000000,57909000000.529922
28.000000,47870.000000,57909000000.549385
29.000000,47870.000000,57909000000.568825
30.000000,47870.000000,57909000000.588257
31.000000,47870.000001,57909000000.607674
32.000000,47870.000001,57909000000.627083
33.000000,47870.000001,57909000000.646477
34.000000,47870.000001,57909000000.665855
35.000000,47870.000001,57909000000.685226
36.000000,47870.000001,57909000000.704590
37.000000,47870.000001,57909000000.723930
38.000000,47870.000001,57909000000.743263
39.000000,47870.000001,57909000000.762589
40.000000,47870.000001,57909000000.781891
41.000000,47870.000001,57909000000.801193
42.000000,47870.000001,57909000000.820473
43.000000,47870.000001,57909000000.839752
44.000000,47870.000001,57909000000.859009
45.000000,47870.000001,57909000000.878265
46.000000,47870.000001,57909000000.897491
47.000000,47870.000001,57909000000.916710
48.000000,47870.000001,57909000000.935928
49.000000,47870.000001,57909000000.955132
50.000000,47870.000001,57909000000.974312
51.000000,47870.000001,57909000000.993492
52.000000,47870.000001,57909000001.012650
53.000000,47870.000001,57909000001.031807
54.000000,47870.000001,57909000001.050941
55.000000,47870.000001,57909000001.070068
56.000000,47870.000001,57909000001.089188
57.000000,47870.000001,57909000001.108284
58.000000,47870.000001,57909000001.127373
59.000000,47870.000001,57909000001.146454
60.000000,47870.000001,57909000001.165520
61.000000,47870.000001,57909000001.184570
62.000000,47870.000001,57909000001.203606
63.000000,47870.000001,57909000001.222641
64.000000,47870.000001,57909000001.241653
65.000000,47870.000001,57909000001.260658
66.000000,47870.000001,57909000001.279648
67.000000,47870.000001,57909000001.298630
68.000000,47870.000001,57909000001.317596
69.000000,47870.000001,57909000001.336555
70.000000,47870.000001,57909000001.355492
71.000000,47870.000001,57909000001.374428
72.000000,47870.000001,57909000001.393349
73.000000,47870.000001,57909000001.412247
74.000000,47870.000001,57909000001.431145
75.000000,47870.000001,57909000001.450027
76.000000,47870.000001,57909000001.468895
77.000000,47870.000001,57909000001.487755
78.000000,47870.000001,57909000001.506599
